connectivity;dynamicColors;moduleColors;moduleLabels;external_gene_name;gene_name;gene_biotype;Module
3,2806E+16;lawngreen;lawngreen;130;Solyc05g041910;Solyc05g041910.3;Cytochrome b561 and DOMON domain-containing protein (AHRD V3.3 *** A0A2G3BZZ3_CAPCH);lawngreen
3,2601E+15;lawngreen;lawngreen;130;Solyc10g079130;Solyc10g079130.2;MAP kinase kinase kinase 76;lawngreen
3,17175E+16;lawngreen;lawngreen;130;Solyc08g076390;Solyc08g076390.3;Transcription factor jumonji (Jmj) family protein / zinc finger (C5HC2 type) family protein (AHRD V3.3 *** F4KIX0_ARATH);lawngreen
3,02962E+15;lawngreen;lawngreen;130;Solyc01g058720;Solyc01g058720.4;Calcium-binding EF-hand (AHRD V3.3 *** A0A2U1NQC6_ARTAN);lawngreen
3,0146E+15;lawngreen;lawngreen;130;Solyc02g081500;Solyc02g081500.3;Receptor kinase LRK10;lawngreen
5,63703E+15;firebrick;firebrick;90;Solyc02g087230;Solyc02g087230.3;Ferredoxin-thioredoxin reductase, catalytic chain (AHRD V3.3 *** A0A2G3D9G9_CAPCH);firebrick
5,44347E+15;firebrick;firebrick;90;Solyc06g066000;Solyc06g066000.3;ATP synthase subunit b', chloroplastic (AHRD V3.3 *** A0A1U8GUM8_CAPAN);firebrick
4,9232E+16;firebrick;firebrick;90;Solyc01g097860;Solyc01g097860.4;myelin-associated oligodendrocyte basic protein (AHRD V3.3 *-* AT1G54520.1);firebrick
4,66471E+15;firebrick;firebrick;90;Solyc07g043570;Solyc07g043570.3;NAD(P)-linked oxidoreductase superfamily protein (AHRD V3.3 *** A0A2U1Q7S8_ARTAN);firebrick
4,51263E+15;firebrick;firebrick;90;Solyc07g007600;Solyc07g007600.3;vacuolar-type H+-pyrophosphatase;firebrick
4,23878E+15;firebrick;firebrick;90;Solyc10g005100;Solyc10g005100.3;Plasma membrane-associated cation-binding protein 1 (AHRD V3.3 *** A0A2G2YJZ6_CAPAN);firebrick
4,19698E+15;firebrick;firebrick;90;Solyc02g085760;Solyc02g085760.2;Rhomboid domain-containing protein (AHRD V3.3 *** A0A1Q3C608_CEPFO);firebrick
4,13057E+15;firebrick;firebrick;90;Solyc07g063570;Solyc07g063570.4;Cytochrome c biogenesis protein family (AHRD V3.3 *** A0A2U1PMY6_ARTAN);firebrick
4,00515E+15;firebrick;firebrick;90;Solyc01g094790;Solyc01g094790.3;Cysteine synthase (AHRD V3.3 *** A0A2G3BSX6_CAPCH);firebrick
3,9887E+16;firebrick;firebrick;90;Solyc11g051160;Solyc11g051160.2;Patellin-1 (AHRD V3.3 *** A0A2G2YV42_CAPAN);firebrick
3,40843E+15;olive;olive;200;Solyc12g095770;Solyc12g095770.2;Secondary thiamine-phosphate synthase enzyme (AHRD V3.3 *** Q9LPU1_ARATH);olive
2,88327E+15;olive;olive;200;Solyc02g088340;Solyc02g088340.4;WRKY transcription factor 3;olive
2,5799E+15;olive;olive;200;Solyc03g005000;Solyc03g005000.4;Peptidase M48 (AHRD V3.3 *-* A0A200R452_9MAGN);olive
2,4844E+14;olive;olive;200;Solyc03g112200;Solyc03g112200.1;Unknown protein;olive
2,46952E+15;olive;olive;200;Solyc04g016220;Solyc04g016220.4;Glycosyltransferase (AHRD V3.3 *-* A0A0A1WC49_NICAT);olive
2,32693E+15;olive;olive;200;Solyc08g081930;Solyc08g081930.3;Glucose-6-phosphate 1-epimerase (AHRD V3.3 *** A0A2G3DB64_CAPCH);olive
2,12734E+16;olive;olive;200;Solyc05g013630;Solyc05g013630.1;protein kreg-1 (AHRD V3.3 *** XP_004239134.1);olive
1,86375E+16;olive;olive;200;Solyc08g079280;Solyc08g079280.3;Cytochrome P450 (AHRD V3.3 *** A0A1U9X605_THAGA);olive
1,81771E+16;olive;olive;200;Solyc10g083350;Solyc10g083350.2;Heme-binding-like protein, chloroplastic (AHRD V3.3 *** A0A1U8EAT6_CAPAN);olive
1,77802E+16;olive;olive;200;Solyc08g005580;Solyc08g005580.3;ABC transporter G family member 14 (AHRD V3.3 *** A0A2G2W3Y1_CAPBA);olive
3,70064E+15;lightsalmon;lightsalmon;160;Solyc03g111310;Solyc03g111310.3;Snf1-related protein kinase regulatory subunit gamma-1 (AHRD V3.3 *** A0A1J6IJ95_NICAT);lightsalmon
3,29407E+15;lightsalmon;lightsalmon;160;Solyc09g064820;Solyc09g064820.1;EID1-like F-box protein 3 (AHRD V3.3 *** A0A2G3BFQ9_CAPCH);lightsalmon
3,29008E+14;lightsalmon;lightsalmon;160;Solyc10g078510;Solyc10g078510.3;Glucan endo-1,3-beta-glucosidase 5 (AHRD V3.3 *** A0A1U8E9Q3_CAPAN);lightsalmon
3,17411E+16;lightsalmon;lightsalmon;160;Solyc08g006765;Solyc08g006765.1;N-acetyltransferase (AHRD V3.3 *** B6T916_MAIZE);lightsalmon
3,16359E+16;lightsalmon;lightsalmon;160;Solyc01g096320;Solyc01g096320.3;Homeobox-leucine zipper protein HOX6 (AHRD V3.3 *** A0A1U8DTA9_CAPAN);lightsalmon
3,09875E+15;lightsalmon;lightsalmon;160;Solyc07g007120;Solyc07g007120.3;class II knotted-like homeodomain protein;lightsalmon
2,98557E+15;lightsalmon;lightsalmon;160;Solyc10g078590;Solyc10g078590.2;Jacalin-related lectin 3 (AHRD V3.3 *-* A0A2G3BI13_CAPCH);lightsalmon
2,97684E+16;lightsalmon;lightsalmon;160;Solyc08g008170;Solyc08g008170.4;Calcium-dependent protein kinase (AHRD V3.3 *** B2KTA5_WHEAT);lightsalmon
2,78336E+15;lightsalmon;lightsalmon;160;Solyc08g075890;Solyc08g075890.3;Serine/threonine-protein kinase MAK (AHRD V3.3 *-* A0A2G2XMD0_CAPBA);lightsalmon
2,77545E+16;lightsalmon;lightsalmon;160;Solyc10g009580;Solyc10g009580.4;Glycosyltransferase (AHRD V3.3 *** A0A2I4F8D3_9ROSI);lightsalmon
2,82455E+16;olivedrab;olivedrab;210;Solyc03g117800;Solyc03g117800.4;Protein ECERIFERUM 3 (AHRD V3.3 *** A0A2G2WQK1_CAPBA);olivedrab
2,79349E+15;olivedrab;olivedrab;210;Solyc12g056590;Solyc12g056590.2;Ethylene Response Factor D.2;olivedrab
2,74071E+15;olivedrab;olivedrab;210;Solyc06g005150;Solyc06g005150.3;ascorbate peroxidase;olivedrab
2,71949E+16;olivedrab;olivedrab;210;Solyc01g095140;Solyc01g095140.4;Desiccation protectant protein Lea14-like protein (AHRD V3.3 *** A0A2G3BT76_CAPCH);olivedrab
2,44551E+14;olivedrab;olivedrab;210;Solyc12g044940;Solyc12g044940.2;NAD(P)-binding Rossmann-fold superfamily protein (AHRD V3.3 *** Q94AL3_ARATH);olivedrab
2,44191E+15;olivedrab;olivedrab;210;Solyc06g069690;Solyc06g069690.4;Two-component response regulator-like APRR5 (AHRD V3.3 *** A0A2G3CZB4_CAPCH);olivedrab
2,39496E+16;olivedrab;olivedrab;210;Solyc10g076250;Solyc10g076250.2;Alanine--glyoxylate aminotransferase 2 (AHRD V3.3 *** B6U6Q5_MAIZE);olivedrab
2,38776E+15;olivedrab;olivedrab;210;Solyc04g071610;Solyc04g071610.4;Abscicic acid stress ripening 1;olivedrab
2,38221E+16;olivedrab;olivedrab;210;Solyc07g053890;Solyc07g053890.3;O-acyltransferase WSD1-like protein (AHRD V3.3 *** A0A2K3N315_TRIPR);olivedrab
2,35013E+16;olivedrab;olivedrab;210;Solyc08g076200;Solyc08g076200.4;RNA helicase DEAD27;olivedrab
2,3131E+14;chartreuse;chartreuse;30;Solyc04g071030;Solyc04g071030.1;RING-type E3 ubiquitin transferase (AHRD V3.3 *** A0A2G2WYL4_CAPBA);chartreuse
2,26653E+15;chartreuse;chartreuse;30;Solyc11g012510;Solyc11g012510.3;GRAS1;chartreuse
2,17858E+16;chartreuse;chartreuse;30;Solyc05g009650;Solyc05g009650.4;Unknown protein;chartreuse
2,07527E+14;chartreuse;chartreuse;30;Solyc08g008370;Solyc08g008370.3;DCD (Development and Cell Death) domain protein (AHRD V3.3 *-* A0A2U1P2J5_ARTAN);chartreuse
2,03654E+16;chartreuse;chartreuse;30;Solyc01g106390;Solyc01g106390.3;Glutamyl-tRNA reductase (AHRD V3.3 *** A0A2G2Y3E1_CAPAN);chartreuse
2,02196E+16;chartreuse;chartreuse;30;Solyc03g122270;Solyc03g122270.4;Inter-alpha-trypsin inhibitor heavy chain-like protein (AHRD V3.3 *** Q8L798_ARATH);chartreuse
2,0028E+16;chartreuse;chartreuse;30;Solyc04g008100;Solyc04g008100.3;RING-type E3 ubiquitin transferase (AHRD V3.3 *** A0A2G2ZH40_CAPAN);chartreuse
1,98498E+16;chartreuse;chartreuse;30;Solyc02g081920;Solyc02g081920.3;Ribulose-1,5 bisphosphate carboxylase/oxygenase large subunit N-methyltransferase, chloroplastic (AHRD V3.3 *** A0A1J3I115_NOCCA);chartreuse
1,88762E+15;chartreuse;chartreuse;30;Solyc08g006320;Solyc08g006320.4;WRKY transcription factor 11;chartreuse
1,84448E+15;chartreuse;chartreuse;30;Solyc09g074500;Solyc09g074500.3;Unknown protein;chartreuse
1,97657E+16;lightgreen;lightgreen;150;Solyc03g031980;Solyc03g031980.4;Lectin-receptor kinase (AHRD V3.3 *** A0A2U1KV35_ARTAN);lightgreen
1,73712E+15;lightgreen;lightgreen;150;Solyc04g005860;Solyc04g005860.3;Protein ENHANCED DISEASE RESISTANCE 2 (AHRD V3.3 *** A0A1J3E5Z2_NOCCA);lightgreen
1,69399E+16;lightgreen;lightgreen;150;Solyc11g067140;Solyc11g067140.2;DNA polymerase epsilon catalytic subunit (AHRD V3.3 *** A0A2G2VQQ6_CAPBA);lightgreen
1,67549E+16;lightgreen;lightgreen;150;Solyc06g051810;Solyc06g051810.4;XH/XS domain protein (AHRD V3.3 *** A0A2K3NHW6_TRIPR);lightgreen
1,67404E+15;lightgreen;lightgreen;150;Solyc09g014770;Solyc09g014770.3;AMP deaminase (AHRD V3.3 *** A0A2G3BKE7_CAPCH);lightgreen
1,66782E+16;lightgreen;lightgreen;150;Solyc04g064870;Solyc04g064870.3;Pathogen-related protein (AHRD V3.3 *** A0A1U8GE43_CAPAN);lightgreen
1,58204E+16;lightgreen;lightgreen;150;Solyc01g081390;Solyc01g081390.4;Xylulose 5-phosphate/phosphate translocator, chloroplastic (AHRD V3.3 *** A0A1U8EHP7_CAPAN);lightgreen
1,57655E+16;lightgreen;lightgreen;150;Solyc01g087800;Solyc01g087800.2;Subtilisin-like protease (AHRD V3.3 *** O82777_SOLLC);lightgreen
1,56705E+16;lightgreen;lightgreen;150;Solyc03g113950;Solyc03g113950.4;Calmodulin binding protein (AHRD V3.3 *-* A0A2K3MP79_TRIPR);lightgreen
1,56261E+16;lightgreen;lightgreen;150;Solyc01g099090;Solyc01g099090.3;Mannosylglycoprotein endo-beta-mannosidase (AHRD V3.3 *** A0A2G2Y0C1_CAPAN);lightgreen
2,98817E+15;orangered;orangered;220;Solyc05g015500;Solyc05g015500.4;RanBP2-type zinc finger protein (AHRD V3.3 *** A0A2G2YF90_CAPAN);orangered
2,93946E+16;orangered;orangered;220;Solyc04g016380;Solyc04g016380.3;Ribosome biogenesis protein BRX1-like protein (AHRD V3.3 *** A0A1U8GKR7_CAPAN);orangered
2,86662E+15;orangered;orangered;220;Solyc09g020140;Solyc09g020140.3;GPN-loop GTPase 3 (AHRD V3.3 *** A0A2G3BMR6_CAPCH);orangered
2,65685E+16;orangered;orangered;220;Solyc05g056130;Solyc05g056130.4;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (AHRD V3.3 *-* K4C2T7_SOLLC);orangered
2,58992E+15;orangered;orangered;220;Solyc11g011060;Solyc11g011060.3;hypothetical protein (AHRD V3.3 *-* AT5G16610.2);orangered
2,5185E+16;orangered;orangered;220;Solyc11g010270;Solyc11g010270.2;Homeobox-leucine zipper protein HOX4 (AHRD V3.3 *** A0A2G2Y5D1_CAPAN);orangered
2,43266E+16;orangered;orangered;220;Solyc01g109410;Solyc01g109410.4;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit (AHRD V3.3 *** A0A2G2WA56_CAPBA);orangered
2,15438E+15;orangered;orangered;220;Solyc03g112570;Solyc03g112570.2;ribonucleoside-diphosphate reductase subunit beta (AHRD V3.3 *** AT5G50410.1);orangered
2,10116E+16;orangered;orangered;220;Solyc03g079930;Solyc03g079930.3;Mitochondrial glycoprotein (AHRD V3.3 *** A0A200QYU1_9MAGN);orangered
2,07625E+15;orangered;orangered;220;Solyc01g100350;Solyc01g100350.3;GTP-binding protein (AHRD V3.3 *** Q9SDK4_ORYSJ);orangered
1,04784E+16;dimgrey;dimgrey;80;Solyc02g082660;Solyc02g082660.3;DNA mismatch repair protein MLH3 (AHRD V3.3 *** A0A2G3A9Q9_CAPAN);dimgrey
9,40235E+15;dimgrey;dimgrey;80;Solyc02g090130;Solyc02g090130.4;Vacuolar protein sorting-associated protein, putative (DUF1162) (AHRD V3.3 *** F4J0L9_ARATH);dimgrey
9,29997E+15;dimgrey;dimgrey;80;Solyc09g092240;Solyc09g092240.3;small subunit processome component 20 homolog isoform X1 (AHRD V3.3 *** A0A2I4HWH3_9ROSI);dimgrey
8,98176E+15;dimgrey;dimgrey;80;Solyc03g112230;Solyc03g112230.4;PB1 domain, Zinc finger, ZZ-type, UBA-like, Next to BRCA1, central domain protein (AHRD V3.3 *-* A0A2U1P8J3_ARTAN);dimgrey
8,86629E+15;dimgrey;dimgrey;80;Solyc08g079260;Solyc08g079260.3;TPR repeat-containing thioredoxin TDX (AHRD V3.3 *-* A0A2G2XKR1_CAPBA);dimgrey
8,85762E+15;dimgrey;dimgrey;80;Solyc02g030450;Solyc02g030450.3;Protein ROOT HAIR DEFECTIVE 3 homolog (AHRD V3.3 *** A0A2G3D211_CAPCH);dimgrey
8,8355E+15;dimgrey;dimgrey;80;Solyc10g076600;Solyc10g076600.2;Acyl-CoA oxidase/dehydrogenase (AHRD V3.3 *** A0A200PWV2_9MAGN);dimgrey
8,79948E+15;dimgrey;dimgrey;80;Solyc11g006320;Solyc11g006320.2;Ubiquitin carboxyl-terminal hydrolase 12 (AHRD V3.3 *** A0A2G3B1E4_CAPCH);dimgrey
8,77414E+15;dimgrey;dimgrey;80;Solyc04g078600;Solyc04g078600.3;hypothetical protein (AHRD V3.3 *** AT5G47830.1);dimgrey
8,69032E+14;dimgrey;dimgrey;80;Solyc09g007310;Solyc09g007310.3;E3 ubiquitin-protein ligase UPL4 (AHRD V3.3 *** A0A2G2YQF0_CAPAN);dimgrey
1,87743E+15;gold;gold;110;Solyc03g059100;Solyc03g059100.3;WD40 repeat (AHRD V3.3 *** A0A200Q432_9MAGN);gold
1,7097E+14;gold;gold;110;Solyc09g008460;Solyc09g008460.3;RAB GTPase (AHRD V3.3 *** A0A2U1PC99_ARTAN);gold
1,67722E+15;gold;gold;110;Solyc02g068010;Solyc02g068010.4;TRAM/LAG1/CLN8-like domain-containing protein (AHRD V3.3 *-* A0A2U1PG06_ARTAN);gold
1,61086E+15;gold;gold;110;Solyc09g014450;Solyc09g014450.4;Clathrin light chain (AHRD V3.3 *** A0A2G3BKE5_CAPCH);gold
1,52761E+16;gold;gold;110;Solyc08g077460;Solyc08g077460.3;SBP (S-ribonuclease binding protein) family protein (AHRD V3.3 *** Q8LCK5_ARATH);gold
1,48342E+16;gold;gold;110;Solyc06g034160;Solyc06g034160.3;Autophagy-related protein 3 (AHRD V3.3 *** A0A2G2WIK5_CAPBA);gold
1,44149E+16;gold;gold;110;Solyc10g085570;Solyc10g085570.3;CTR1-like protein kinase-4;gold
1,37815E+16;gold;gold;110;Solyc01g067100;Solyc01g067100.4;Cullin (AHRD V3.3 *** A0A200Q1J8_9MAGN);gold
1,3429E+16;gold;gold;110;Solyc09g007680;Solyc09g007680.4;Zinc finger, RING-CH-type, Zinc finger, RING/FYVE/PHD-type (AHRD V3.3 *** A0A2U1LSH5_ARTAN);gold
1,32778E+15;gold;gold;110;Solyc04g079210;Solyc04g079210.3;Patatin (AHRD V3.3 *** A0A2G2X0P8_CAPBA);gold
1,95515E+16;springgreen;springgreen;260;Solyc12g096420;Solyc12g096420.2;RING/U-box superfamily protein (AHRD V3.3 *-* A0A1P8BF19_ARATH);springgreen
1,92153E+15;springgreen;springgreen;260;Solyc02g081830;Solyc02g081830.4;Haloacid dehalogenase-like hydrolase (HAD) superfamily protein (AHRD V3.3 *** A0A2U1MTA1_ARTAN),Pfam:PF00702;springgreen
1,89242E+16;springgreen;springgreen;260;Solyc01g066310;Solyc01g066310.4;Acyl-CoA dehydrogenase family member 10 (AHRD V3.3 *** A0A1J3CLI6_NOCCA);springgreen
1,87159E+16;springgreen;springgreen;260;Solyc09g009090;Solyc09g009090.3;CTR1-like protein kinase-3;springgreen
1,75567E+16;springgreen;springgreen;260;Solyc07g064130;Solyc07g064130.2;Polyubiquitin (AHRD V3.3 *** F1SY21_MESCR);springgreen
1,7537E+16;springgreen;springgreen;260;Solyc08g082750;Solyc08g082750.3;Plant regulator RWP-RK family protein (AHRD V3.3 *** G7IAL8_MEDTR);springgreen
1,729E+16;springgreen;springgreen;260;Solyc05g009760;Solyc05g009760.3;Disease resistance protein (CC-NBS-LRR class) family (AHRD V3.3 --* AT5G48620.6);springgreen
1,7214E+15;springgreen;springgreen;260;Solyc11g042990;Solyc11g042990.2;Kinase protein (AHRD V3.3 *** A0A2R4QNE4_9POAL);springgreen
1,70051E+15;springgreen;springgreen;260;Solyc06g084590;Solyc06g084590.4;Heparan-alpha-glucosaminide N-acetyltransferase-like protein (DUF1624) (AHRD V3.3 *** B3H4C1_ARATH);springgreen
1,64526E+16;springgreen;springgreen;260;Solyc11g064890;Solyc11g064890.2;hypoxia-induced protein L31;springgreen
